,GSM2648568,GSM2648569,GSM2648573,GSM2648575,GSM2648576,GSM2648580,GSM2648583,GSM2648585,GSM2648587,GSM2648590
PDIA3P,1573.2914883954002,1589.1898361398578,1585.7923238550634,1585.8333475014717,1596.2750308542466,1587.4140882219044,1573.5256165122717,1580.7283500719482,1584.2033653052006,1589.8243094067143
VOPP1,1388.5962547114004,1327.5359240143555,1323.3220517737623,1336.997995709055,1398.1114738786916,1352.3063141468674,1352.7231546219266,1363.3961509618455,1403.4702282656635,1344.099616741138
NBPF15,1397.921572735485,1411.2590617646808,1389.0047601567499,1406.3115371196104,1413.3039167343388,1415.6002596124192,1410.1326459973695,1435.060977559739,1443.9133759334104,1438.3163443971202
NBPF16,1406.2571366592445,1417.0085372196706,1396.8695261711189,1413.8043519369417,1421.9500560525862,1426.328626298703,1418.6015482934502,1443.9064759920602,1452.0731263218374,1447.574746305705
PLEKHO1,1375.7513546791065,1340.452503099825,1338.3877887879164,1314.2377994830524,1434.4429070113865,1346.9913497664763,1372.5746844998391,1382.2713385869029,1381.420027836194,1376.7975825060919
MRPS21,1500.1455117860517,1514.8963042352993,1521.4241979669216,1519.9308534804927,1481.0529190976029,1484.3345410940356,1503.8507710170345,1524.412557592201,1524.6040889179922,1510.3936533280203
RPRD2,1388.3922804915546,1407.121742517385,1413.3110495521319,1407.9677713921333,1291.6274640447482,1407.3615521252839,1431.383164939724,1407.2363959079605,1387.9617787761613,1417.0678672304252
ECM1,1410.1956187431097,1412.1391674494932,1431.7557332184901,1378.6820395534892,1368.0430112217002,1391.7577737398424,1399.1593212324085,1410.1671003560568,1380.2561076919512,1380.8526667418844
SCNM1,1549.9590279722504,1531.319460160616,1541.977471407327,1532.939422005074,1521.0366601642854,1536.3152345326134,1541.9114019585654,1528.2795543534678,1523.7150782320255,1541.9899171659363
INTS3,1407.871134009567,1427.2161181061406,1428.4121122910722,1423.5635204401,1367.7017706729414,1410.2312910923429,1440.645683566404,1423.2669796499774,1405.6736070581135,1421.8920899544105
RPS27,1680.9761869289491,1653.5047243064878,1672.0144766156527,1634.8458166853595,1627.2389914361622,1633.514482805161,1664.275232004679,1637.5287148892137,1633.2507687043574,1637.063372034745
