,GSM2648567,GSM2648570,GSM2648571,GSM2648572,GSM2648574,GSM2648577,GSM2648578,GSM2648579,GSM2648581,GSM2648582,GSM2648584,GSM2648586,GSM2648588,GSM2648589
NBPF15,1420.6200892874472,1402.7709377005006,1432.1381113176553,1414.0470589278618,1388.0083278051814,1411.5533717537985,1392.5355246736692,1416.3300341170427,1397.5673346506806,1389.6855246366977,1445.2166518251156,1408.139970578958,1417.3359104454182,1419.2171239225538
NBPF16,1422.9649167475925,1409.5616967855926,1436.6150760641267,1418.9138795502786,1393.81512472651,1420.359113099232,1399.8209711845543,1425.015112134553,1407.0450593983808,1398.033671930186,1453.0092978743305,1418.5707082769418,1425.6310784990187,1424.7195934125969
PLEKHO1,1359.2585173833002,1358.0468066914325,1385.5754914025867,1375.1138641119892,1356.9532156311661,1338.55777798901,1312.337072942429,1349.8224785793477,1340.1199877196796,1332.843098841442,1450.2975561082637,1369.520545562896,1386.9175524977495,1364.276566733122
MRPS21,1503.0604403642953,1523.0276141114173,1526.598514321572,1488.4661172853944,1495.0635994015677,1493.5531672669192,1497.9691310912647,1489.8785945323887,1495.084471458721,1496.7218680722312,1495.0942643290339,1509.6703062088293,1505.6340056912318,1554.4927780016117
RPRD2,1432.5401998943098,1405.1079993453095,1391.7292680367016,1376.64844719113,1407.803852187036,1403.636809501878,1415.2037841677366,1392.6051756191875,1409.730369260672,1414.7176898299672,1326.374121785644,1406.364642808467,1397.491115743068,1432.1414971877048
ECM1,1422.6565671400338,1404.4138632856034,1390.5949943066737,1421.0855886399552,1422.452567671938,1394.4745769991375,1407.4270919659132,1392.0178119559916,1369.3552072559996,1386.223498847339,1379.6546881628196,1440.1948051223083,1401.8600961738769,1397.2688101411613
SCNM1,1528.3560717256964,1543.001481912306,1540.544614821492,1539.7129711479058,1544.0358085034445,1533.420078759165,1529.478448450854,1532.970100403041,1540.2435238989592,1534.8750837256425,1515.5224438026821,1542.035685702746,1543.5524238638636,1517.0152421462562
INTS3,1440.7477812261675,1430.6815051820906,1410.2288625949982,1418.7357583000212,1399.9827882807094,1414.8669638902995,1415.92837156187,1388.072527025709,1410.086500294238,1406.3613580783478,1389.0515406550758,1432.9203583599415,1415.1589600456302,1434.1950045732233
RPS27,1634.9312891968254,1657.5722666941124,1651.755370968723,1671.9597784832283,1673.1368755003482,1649.2619486193935,1659.8018365426478,1654.8323883998657,1653.8042955448143,1637.1439802999437,1642.9770584483804,1684.8423919965282,1658.217939757992,1644.7020851210702
UBAP2L,1618.9587795252937,1613.9786053980608,1620.0011729073667,1608.2677298815806,1612.2780213773299,1607.526531750918,1608.586744119621,1608.4660916181706,1605.3772974134245,1606.266747924877,1616.9974441568322,1612.3136569270116,1615.0435846629503,1621.328218577712
HAX1,1356.8840883608295,1330.4305967105067,1347.6299353485906,1344.9639651626546,1329.5575380954267,1366.8772443041662,1389.6740185239548,1369.940569859073,1367.289374363973,1357.3604616182797,1359.1512513200164,1339.6858325975497,1355.3191448623363,1373.3846449603625
IL6R,1492.7684156853416,1496.6203235401965,1471.1338955180686,1489.5855408350888,1498.7367552045916,1520.2421987373348,1518.9166660956846,1508.0051005281366,1509.9942178333429,1517.3085084240827,1516.330050305311,1530.1662729461673,1505.014369935121,1516.908530903038
