,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
CS,10.85805,10.99474,10.90858,10.85242,10.95819,10.84633,10.87737,10.70307,10.72139,10.60892,10.78204,10.83473,10.91736,10.80197,10.81416,10.86204,10.81138,10.78111,10.84176,10.73355,10.96804,10.8102,10.75255,10.66844
ATP5B,12.18503,12.2177,12.18114,12.19023,12.19571,12.21362,12.23544,12.25451,12.18309,12.08992,12.20947,12.25052,12.22713,12.19014,12.23107,12.242,12.16183,12.16028,12.24682,12.14128,12.19206,12.17312,12.12909,12.218
NACA,11.45756,11.39027,11.4666,11.46406,11.47452,11.41715,11.48363,11.36055,11.38248,11.24516,11.49859,11.4957,11.54436,11.46185,11.51856,11.42227,11.198,11.3444,11.43402,11.48672,11.49074,11.32423,11.53446,11.34537
STAT6,10.53994,10.40368,10.47581,10.51264,10.479,10.48372,10.47283,10.47089,10.47985,10.48341,10.45538,10.45522,10.49609,10.47141,10.44178,10.44506,10.47,10.42683,10.42731,10.51755,10.46888,10.44007,10.49008,10.43897
CDK4,11.04002,11.24409,11.22476,11.1438,11.3623,11.31413,11.1679,11.13182,11.03174,10.68768,11.07043,11.11706,11.22076,11.08469,11.10592,11.15117,11.15646,10.95832,11.07378,10.95661,11.33414,11.21555,11.19581,11.17098
TMBIM4,10.2429,10.10992,10.10344,10.21835,10.19087,9.998024,10.17208,10.03563,10.32528,10.24622,10.24405,10.21622,10.29945,10.34227,10.30482,10.37086,10.21597,10.18094,10.25762,10.22414,10.24556,10.0946,10.26909,10.26993
CPM,10.23671,10.26914,10.16531,10.18434,10.51052,10.09298,9.985616,9.796041,10.0611,11.08875,10.14174,10.09912,10.56533,10.14139,10.09919,10.17574,9.992077,10.95643,9.924167,9.644417,10.42179,9.999948,10.12314,9.921407
PHLDA1,10.39215,10.33541,10.46205,10.32505,10.38727,10.53138,10.39774,10.54108,10.63908,10.27832,10.68493,10.68453,10.6635,10.61299,10.66822,10.59471,10.6616,10.28237,10.67635,10.82292,10.57009,10.82025,10.77928,10.78457
NAP1L1,11.37947,11.43495,11.49148,11.54331,11.54839,11.36018,11.49035,11.39257,11.49073,11.32,11.49896,11.63217,11.60866,11.48737,11.59178,11.56314,11.30114,11.25756,11.47879,11.44944,11.57662,11.37703,11.40116,11.59622
OSBPL8,10.62119,10.51353,10.58493,10.68417,10.60928,10.51006,10.63938,10.59011,10.68489,10.52444,10.81785,10.75234,10.76623,10.78428,10.84529,10.83092,10.40809,10.40841,10.62632,10.31583,10.57236,10.55716,10.64509,10.63815
DUSP6,10.35365,10.3595,10.33871,10.30769,10.3543,10.32829,10.32348,10.23035,10.47234,11.07685,10.45459,10.42896,10.61001,10.3707,10.36503,10.49106,10.44292,10.96008,10.41528,10.31988,10.50973,10.43749,10.3903,10.24693
ATP2B1,8.378423,9.346278,8.642764,8.597099,9.879201,9.401887,8.38409,8.6368,8.290094,10.1366,8.63842,8.286779,9.69879,9.062536,8.328075,8.423038,8.438307,10.45484,8.839814,8.376432,10.12402,9.002835,8.387877,8.441347
BTG1,11.66477,11.65158,11.6985,11.70892,11.97996,11.80024,11.70447,11.74219,11.86053,12.59163,11.87625,11.83183,11.93226,11.92114,11.95421,11.90932,11.73778,12.42635,11.71322,11.82673,12.00449,11.84605,11.77777,11.7776
RPL41,12.85053,12.79767,12.76167,12.89661,12.76615,12.83936,12.83953,12.93044,12.62834,12.72065,12.85488,12.83903,12.79236,12.90729,12.8746,12.7759,12.74532,12.93132,12.78814,12.87008,12.75919,12.8089,12.8308,13.06308
LTA4H,10.76786,10.66943,10.67661,10.80339,10.51271,10.59984,10.74127,10.62609,10.85193,10.32292,10.90803,10.89159,10.79871,10.90059,11.05171,10.99439,10.87561,10.35257,10.75401,10.63892,10.71384,10.68677,10.92756,10.86791
SLC41A2,8.741168,9.45333,9.018785,8.939534,9.912666,9.482576,8.847742,8.69315,9.143792,10.56229,9.536113,9.335756,9.996988,9.586783,9.381426,9.422425,8.955151,10.23123,9.518021,9.13179,10.14665,9.498372,9.307908,9.33493
CORO1C,12.05344,11.92732,11.98397,11.97879,11.98429,11.86287,11.95694,11.97833,11.9556,11.39179,11.92659,11.93529,11.94037,11.88679,11.93136,11.92956,11.89639,11.51518,11.92375,11.91407,11.90434,11.87608,11.99152,11.98363
GIT2,11.45559,11.23946,11.41321,11.33877,11.31945,11.21353,11.39759,11.26991,11.33095,10.5287,11.30995,11.31508,11.26299,11.30482,11.30737,11.32941,11.28404,10.68213,11.29775,11.18016,11.23693,11.19365,11.32823,11.25042
ARPC3,11.01744,11.0139,11.08396,11.09924,10.96486,10.98019,11.04606,11.05698,10.98708,11.01065,11.19184,11.24332,11.18444,11.17553,11.16396,11.09276,11.01659,10.89328,11.15182,11.13171,10.9113,11.05177,10.93419,11.17929
PPP1CC,11.681,11.76894,11.6714,11.76351,11.73172,11.67636,11.6589,11.71029,11.83294,11.5008,11.78547,11.75745,11.85016,11.83827,11.80778,11.77873,11.73562,11.54355,11.77132,11.5418,11.83467,11.8265,11.78578,11.72375
RPL6,12.17731,12.12812,12.13025,12.19168,12.1587,12.15591,12.15379,12.14255,12.09092,11.98497,12.17032,12.18346,12.19759,12.11196,12.12703,12.1426,12.02322,12.05353,12.08657,12.11363,12.15464,12.12233,12.16377,12.17147
MED13L,10.55394,10.32702,10.46632,10.46106,10.55065,10.47004,10.50288,10.46787,10.66817,11.1964,10.65964,10.64799,10.74046,10.62468,10.58535,10.57951,10.61092,10.69845,10.69481,10.61547,10.68209,10.65996,10.60673,10.58322
WSB2,10.91659,11.10707,10.94801,11.03181,11.18788,11.05623,10.95884,10.9188,10.958,11.11192,11.0147,11.04384,11.16025,11.07781,11.10073,11.05429,10.95077,11.20137,10.91999,10.88496,11.07975,10.88448,10.96202,11.00911
TAOK3,10.32062,10.09552,10.29228,10.43587,10.22742,10.14949,10.25777,10.2624,10.37193,9.833833,10.32862,10.40602,10.40705,10.46844,10.35735,10.35869,10.20173,9.922375,10.20747,10.14466,10.07338,10.2806,10.24569,10.30696
RAB35,10.02654,10.18087,10.06015,10.03835,10.14249,10.12926,10.09525,10.08321,10.31262,10.18981,10.18035,10.10954,10.25564,10.1514,10.15811,10.28163,10.13434,10.16963,10.17313,10.26684,10.26054,10.23919,10.21398,10.1358
RPLP0,12.52504,12.51426,12.60164,12.49135,12.59076,12.54004,12.58877,12.50836,12.52568,12.58818,12.65439,12.61473,12.61561,12.47785,12.55406,12.56933,12.50448,12.49761,12.52113,12.54499,12.55411,12.53388,12.56662,12.50882
ANAPC5,9.732849,10.10568,9.870218,9.979519,9.84246,10.07275,9.837523,10.02256,9.870352,9.468919,9.980726,9.958695,9.98329,9.956594,9.9852,9.925988,10.04614,9.797264,9.97099,9.943877,10.00909,10.02526,9.945642,10.07979
CDK2AP1,10.60193,10.83397,10.67311,10.69117,10.72351,10.79156,10.72916,10.78834,10.60158,10.68092,10.61187,10.598,10.62602,10.61561,10.5676,10.61216,10.596,10.48564,10.5498,10.49758,10.61922,10.70957,10.40139,10.51723
RILPL2,9.455995,9.925515,9.551762,9.620212,10.09945,9.937092,9.569334,9.680079,9.818447,10.14438,9.903935,9.993467,10.37646,10.15545,10.0929,9.800617,9.487068,10.09515,9.667806,9.68945,10.1849,9.912213,9.667686,9.67909
EIF2B1,9.750244,9.858454,9.731535,9.764576,9.826282,9.816896,9.706491,9.764082,9.87632,9.634906,9.884351,9.954151,9.90995,9.889662,9.999623,9.979969,9.91179,9.694963,9.920952,9.866891,9.968915,10.02324,10.02381,10.0098
SCARB1,10.80708,10.90973,10.88601,10.77825,10.68662,10.8088,10.99259,10.75912,10.70892,9.979933,10.76941,10.84631,10.71013,10.63886,10.74071,10.71234,10.83863,10.19113,10.74752,10.83635,10.66774,10.81988,10.73901,10.55438
UBC,13.11684,13.0507,13.12753,13.09545,13.13763,13.0942,13.17028,13.07404,13.10787,13.12613,13.11875,13.1499,13.11382,13.10552,13.15799,13.0964,13.02604,13.12839,13.13426,13.03505,13.12218,13.05801,13.17744,13.15065
RN28S1,11.3697,11.27936,11.41921,11.30761,11.28643,11.36645,11.57107,11.31152,11.42061,11.39049,11.46868,11.46316,11.49175,11.26158,11.48579,11.40108,11.36636,11.28139,11.48657,11.51324,11.43189,11.35108,11.32505,11.29722
RPL21,11.00402,10.97893,10.9839,11.03233,11.03654,10.99678,11.04783,11.02791,10.89662,10.98313,11.00778,11.02516,11.02283,11.02069,11.05599,10.97211,10.78575,10.92207,10.90735,10.87898,10.85496,10.75779,10.74934,10.94338
GTF3A,10.0938,10.01659,10.13457,10.06201,10.17236,9.983603,10.17852,10.02807,10.22351,10.05229,10.31267,10.25209,10.27039,10.20069,10.38612,10.30644,10.09357,10.0519,10.24146,10.02958,10.12105,10.03869,10.30978,10.04684
POMP,10.35689,10.30302,10.34601,10.49586,10.36561,10.30727,10.3299,10.35443,10.47752,10.62078,10.52482,10.68906,10.55783,10.50265,10.54575,10.57193,10.39631,10.47885,10.38717,10.48257,10.42791,10.48781,10.50481,10.56179
UBE2L3,11.81815,11.76848,11.78579,11.84128,11.80085,11.75022,11.83578,11.82542,11.72542,11.88516,11.79882,11.82421,11.84473,11.7961,11.85844,11.89406,11.76528,11.78708,11.7991,11.77333,11.78095,11.72565,11.80116,11.88129
ALOX5AP,11.59672,11.67321,11.60185,11.61156,11.34754,11.5305,11.50004,11.55713,11.2518,10.77538,11.19974,11.38075,11.18094,11.172,11.24843,11.27748,11.18757,10.54845,11.0725,11.30239,10.85766,11.15944,11.23261,11.17002
