,GSM2648567,GSM2648568,GSM2648569,GSM2648570,GSM2648571,GSM2648572,GSM2648573,GSM2648574,GSM2648575,GSM2648576,GSM2648577,GSM2648578,GSM2648579,GSM2648580,GSM2648581,GSM2648582,GSM2648583,GSM2648584,GSM2648585,GSM2648586,GSM2648587,GSM2648588,GSM2648589,GSM2648590
NEDD8,10.72278,10.86491,10.7788,10.83516,10.67313,10.76123,10.74582,10.90354,10.56217,10.56904,10.55599,10.7551,10.63505,10.72219,10.64568,10.7238,10.71229,10.64835,10.67393,10.94228,10.79776,10.68633,10.66443,10.88544
SNX6,10.48793,10.15924,10.31516,10.39324,10.27377,10.15092,10.37591,10.27271,10.23188,10.5495,10.12626,10.20051,10.14413,10.16642,10.18637,10.28337,10.29581,10.44994,10.17735,10.06841,10.02547,10.14396,10.3284,10.24818
BAZ1A,10.30293,10.31796,10.36486,10.41707,10.44243,10.28533,10.35524,10.36549,10.39013,11.28708,10.48903,10.48697,10.54557,10.56122,10.44529,10.45247,10.37483,11.1614,10.54878,10.26274,10.60578,10.44886,10.41048,10.4977
NFKBIA,10.96662,11.82171,11.30187,11.20561,12.23434,11.86792,11.2859,11.32594,10.85328,12.70785,11.32698,11.17167,11.98971,11.43173,11.08873,11.13499,10.63099,12.67192,11.62801,11.33696,12.19312,11.52176,11.36445,11.21775
RPL36AL,10.21373,10.30487,10.25426,10.29474,10.15971,10.14315,10.2823,10.20527,10.25075,10.24857,10.28881,10.32731,10.26786,10.21459,10.38724,10.30496,10.16416,10.14409,10.21688,10.34807,10.24394,10.1925,10.20498,10.14552
RN7SL1,13.64852,13.64204,13.50938,13.5012,13.58058,13.59445,13.63199,13.43893,13.50862,13.62797,13.59214,13.71974,13.76519,13.69091,13.55525,13.60083,13.55339,13.52906,13.62436,13.58259,13.59015,13.50155,13.57993,13.66125
PYGL,10.46201,10.03418,10.32764,10.35717,9.885781,10.15134,10.34197,10.44293,10.56625,10.03222,10.4244,10.43486,10.23241,10.34408,10.31772,10.28553,10.3206,9.753798,10.11616,10.17065,9.85938,10.06904,9.95126,9.994854
ZFP36L1,10.67454,10.82862,10.63477,10.64347,10.76446,10.73955,10.67836,10.66885,10.39464,10.12616,10.43112,10.41058,10.51168,10.2621,10.29127,10.38719,10.51401,10.72928,10.63229,10.70052,10.70913,10.63955,10.7826,10.53759
ACTN1,12.32731,12.05285,12.29435,12.22361,12.13264,12.15045,12.26057,12.21425,12.22647,11.78794,12.19115,12.26047,12.15854,12.19757,12.17443,12.22216,12.15324,11.67938,12.16771,12.13988,12.10262,12.1309,12.22285,12.15357
NPC2,12.43286,12.50684,12.48354,12.53962,12.41658,12.48514,12.52327,12.44514,12.24313,12.1687,12.39604,12.37961,12.35949,12.34163,12.4042,12.39972,12.4293,12.32427,12.3856,12.45354,12.34489,12.42003,12.40437,12.4441
DYNLL1,10.72248,10.85183,10.9456,11.12401,11.00026,11.05671,10.94673,11.17602,10.74137,10.90557,11.09844,11.11304,11.12957,11.08212,11.38952,11.07673,11.08494,11.31334,10.89253,11.22402,10.99722,11.13367,10.96987,11.18987
DICER1,10.06902,9.943645,10.01997,9.972188,10.10628,10.04394,9.961925,9.850039,10.17534,10.02495,10.06211,10.02862,10.06563,10.09767,10.04602,10.03259,10.01137,10.01894,10.09479,9.862049,10.05605,10.01525,10.08966,9.979876
WARS,10.68741,10.94773,10.72406,10.76734,11.04406,10.86759,10.81784,10.76545,11.38419,12.42446,11.5975,11.54268,11.59641,11.47288,11.62607,11.55995,11.36704,12.1363,11.32689,11.12862,11.35286,11.31609,11.35824,11.35804
AKT1,10.83287,10.86858,10.87717,10.83117,10.89163,10.92678,10.86783,10.80907,10.78105,10.63375,10.84087,10.82258,10.83006,10.84562,10.79668,10.82944,10.79541,10.72975,10.82005,10.87294,10.85833,10.88881,10.8298,10.78107
GPR132,9.416,10.04777,9.498636,9.507385,10.27783,9.9897,9.563515,9.617049,9.296803,11.05402,9.537343,9.503042,9.845632,9.598529,9.384248,9.421674,9.490507,11.05963,9.90662,9.862003,10.14964,9.892096,9.633839,9.678372
CYFIP1,10.98167,10.81672,11.12225,11.02343,10.74017,10.8719,11.0386,10.89124,11.09416,10.457,11.10524,11.07827,10.96511,11.0258,11.1407,11.09372,11.15251,10.58197,11.17413,11.09576,10.96421,11.12325,11.13997,11.07164
RPL41,12.85053,12.79767,12.76167,12.89661,12.76615,12.83936,12.83953,12.93044,12.62834,12.72065,12.85488,12.83903,12.79236,12.90729,12.8746,12.7759,12.74532,12.93132,12.78814,12.87008,12.75919,12.8089,12.8308,13.06308
HMGN2,11.29273,11.43276,11.14752,11.53562,11.14779,11.35628,11.27869,11.61865,10.99267,10.92293,11.13873,11.20575,11.09209,11.20401,11.41964,11.35816,11.39136,11.19599,11.1944,11.21184,11.06149,11.34373,11.09717,11.60888
TMEM85,10.7409,10.60129,10.64456,10.72695,10.60959,10.63362,10.63713,10.63301,10.71954,10.75473,10.6349,10.74518,10.69964,10.79374,10.76422,10.69863,10.6826,10.57491,10.67075,10.61536,10.63596,10.74563,10.7068,10.73535
CHP,11.45192,11.32446,11.39611,11.4229,11.29116,11.35364,11.44144,11.46763,11.34925,10.93728,11.43241,11.41474,11.39573,11.3721,11.36801,11.37264,11.28916,10.93754,11.29068,11.39294,11.22854,11.2265,11.22226,11.24427
NUSAP1,10.60462,10.44052,10.64007,10.62674,10.48506,10.35967,10.62972,10.4384,10.21936,9.354328,10.20408,10.27073,10.18695,10.15389,10.38269,10.45763,10.36651,9.98337,10.37872,10.29611,10.32562,10.32545,10.62518,10.50584
PDIA3,11.6602,11.48026,11.55245,11.66248,11.59768,11.50593,11.56656,11.61664,11.56452,11.57874,11.65107,11.64587,11.6251,11.60609,11.70629,11.61728,11.44906,11.47235,11.54146,11.43967,11.55851,11.41084,11.53806,11.59711
CASC4,10.1448,9.993838,10.0664,10.1479,10.08174,9.963679,10.12361,10.05022,10.20833,9.969499,10.26223,10.28512,10.30227,10.32645,10.30573,10.29904,10.0447,9.871407,10.11548,9.937261,10.04005,10.00762,10.02949,10.13282
B2M,12.19112,12.14628,12.1646,12.36692,12.30936,12.1836,12.2543,12.29596,12.14892,12.51072,12.27826,12.32239,12.20934,12.20735,12.28851,12.3287,12.17666,12.50883,12.25121,12.24801,12.28797,12.2335,12.221,12.27626
TCF12,11.48534,11.26393,11.46724,11.49106,10.95879,11.2903,11.51969,11.54737,11.56203,10.95118,11.66115,11.63581,11.42298,11.54865,11.63358,11.60675,11.54401,10.64263,11.58134,11.50023,11.17844,11.48797,11.54255,11.51389
RAB8B,10.0045,9.776588,9.871677,9.889713,9.879076,9.755306,9.855244,9.943014,9.731578,10.8954,9.841962,9.901183,9.881099,9.828186,9.793477,9.825542,9.828636,10.69252,9.738422,9.589757,9.809964,9.741872,9.861902,9.777359
USP3,9.850848,9.710398,9.833636,9.798511,9.741281,9.757483,9.82137,9.791079,9.882498,9.264099,10.00974,10.03966,9.936626,9.986032,9.929946,10.01517,9.824791,9.278169,9.817834,9.735094,9.799551,9.805805,9.774117,9.857617
RAB11A,10.14427,10.07092,9.983444,10.12222,10.14465,9.967113,10.10355,10.05086,10.09204,10.00465,10.06541,10.15356,10.10911,10.09103,10.15318,10.09507,9.984361,10.11105,10.06236,10.02839,9.990085,9.987186,10.04657,9.990055
PIAS1,11.58478,11.66361,11.62464,11.63145,11.62858,11.65715,11.66109,11.64488,11.54502,11.40327,11.58383,11.545,11.56988,11.52178,11.6354,11.65181,11.60899,11.50235,11.58323,11.5548,11.57133,11.5656,11.68347,11.58872
RPLP1,12.11107,12.20422,11.99986,12.02444,12.087,12.16416,12.15043,12.14673,11.83297,11.98476,11.8884,11.93014,11.98536,11.86259,11.85312,11.88841,11.8004,11.92442,11.81602,11.97572,11.82994,11.92021,11.76739,11.82951
CD276,10.13842,10.1593,10.18228,10.099,10.21517,10.22907,10.24918,10.32006,10.5133,11.04377,10.57696,10.5936,10.57018,10.43396,10.40966,10.41367,10.21024,10.35131,10.23558,10.46439,10.34848,10.3765,10.35138,10.13281
NAD+,10.53556,10.85016,10.59408,10.67248,10.86502,10.66256,10.50524,10.60351,10.55759,10.6298,10.69231,10.71877,10.76277,10.81798,10.77758,10.73689,10.44739,10.69214,10.3982,10.21192,10.62389,10.4997,10.40479,10.41552
MORF4L1,10.36632,10.27023,10.52034,10.53414,10.40192,10.22619,10.42946,10.41548,10.40737,10.30492,10.26563,10.38583,10.35915,10.34998,10.49861,10.39043,10.34915,10.19287,10.60446,10.10308,10.40848,10.41933,10.39145,10.74199
PDE8A,9.378314,9.451561,9.41432,9.495866,9.756006,9.308629,9.227178,9.331095,9.532678,10.24578,9.702196,9.588873,10.02085,9.827346,9.651869,9.542839,9.190859,10.02427,9.526595,9.198507,9.813383,9.53469,9.412233,9.429409
MRPS11,10.85472,10.83965,10.85543,10.8331,10.91732,10.86942,10.81602,10.77789,10.74458,10.67168,10.75058,10.73455,10.7477,10.83689,10.84128,10.83473,10.83115,10.83163,10.82188,10.82636,10.80865,10.82108,10.87849,10.86925
ABHD2,10.77087,10.73701,10.89695,10.74486,10.50674,10.6586,10.79146,10.73712,11.05288,9.667294,11.15841,11.21525,11.01937,11.08487,11.28214,11.33605,11.22712,10.1575,11.23884,11.30932,11.0551,11.28365,11.39657,11.3898
IQGAP1,11.98985,11.70296,11.9472,11.97548,11.86067,11.79973,11.93653,11.88268,11.88892,11.78967,11.89171,11.85555,11.79179,11.82638,11.87222,11.85391,11.86711,11.71397,11.85391,11.71621,11.81175,11.84186,11.88554,11.85431
SLCO3A1,9.126278,9.926272,9.131906,9.159028,10.25731,9.802956,9.137107,9.126332,8.938743,10.97757,9.264372,8.995052,9.878948,9.433646,8.869562,8.916256,8.613085,10.41877,9.151082,9.025276,10.12429,9.397124,9.009007,8.926589
GLTSCR2,11.41034,11.48695,11.38231,11.47486,11.4614,11.5051,11.38615,11.66995,11.72748,11.22373,11.5255,11.63051,11.47582,11.4586,11.45158,11.62846,11.58833,11.2078,11.49437,11.50443,11.32145,11.47341,11.47169,11.57819
MEF2A,10.52296,10.14106,10.40276,10.41955,9.898969,10.25341,10.5025,10.47004,10.34717,10.06615,10.28485,10.28125,9.980414,10.15746,10.23379,10.25367,10.29581,9.774917,10.20174,10.4516,10.03164,10.34414,10.28407,10.44036
RPL5,12.87591,12.85648,12.93849,12.91827,12.93715,12.90814,12.99336,12.8518,12.87524,12.76874,12.98519,13.06242,12.96868,12.91093,12.93425,12.95312,12.89865,12.97195,12.93526,12.86677,12.91086,12.86522,13.01247,12.96552
PLCB2,10.98587,10.85146,10.89251,10.90768,10.6495,10.78465,10.88309,10.82453,10.52467,9.584381,10.46169,10.53413,10.30058,10.38544,10.46721,10.57104,10.94098,10.03832,10.73127,10.87315,10.51986,10.81429,10.87823,10.85468
EHD4,10.39191,10.22409,10.46087,10.41728,10.24317,10.41817,10.42793,10.48009,10.47962,10.55577,10.39265,10.36514,10.26938,10.34801,10.40701,10.33565,10.54627,10.30763,10.4823,10.48903,10.37641,10.543,10.43306,10.47865
RPS3A,11.03604,10.8768,10.92074,11.18973,11.26478,10.95223,11.07731,10.99298,10.99989,10.90822,11.19113,11.19693,11.12893,11.1436,11.18043,11.11068,10.79971,10.94214,11.09181,11.01862,11.01867,10.70342,11.03537,11.19336
SPPL2A,11.00008,10.91892,10.96424,11.05978,11.17916,10.92129,10.95249,10.80921,10.97972,11.30403,10.98771,10.83639,11.02619,11.03999,11.02785,10.92262,10.8245,11.16536,10.92154,10.78525,11.0563,10.72843,10.85821,10.95213
CYP19A1,9.890349,9.672038,9.831907,10.00645,9.531508,9.682087,9.929663,10.04072,10.3789,10.34804,10.20157,10.29046,10.04869,10.16504,10.37063,10.48435,10.39047,10.14937,10.47556,10.24617,10.17603,10.30211,10.45026,10.3868
DMXL2,10.21756,10.44051,10.22189,10.21482,10.68108,10.36165,9.986307,9.926472,9.782906,10.67327,9.905615,9.712826,10.40829,10.07769,9.74489,9.768149,9.743238,10.80968,10.05827,9.737858,10.56061,10.1251,9.873943,9.951057
ARPP19,10.00835,9.712178,9.917487,9.966533,10.04941,9.865957,10.11765,9.87593,9.937033,9.838573,10.02897,10.10907,10.04248,9.951576,10.15506,10.05542,10.03899,9.889487,9.972322,9.843598,10.01984,9.921048,10.05837,10.01696
ADAM10,11.15746,10.94318,11.0298,11.13032,10.84112,10.93879,11.08539,11.15221,11.42083,10.78199,11.34141,11.4317,11.27663,11.38053,11.48291,11.41235,11.318,10.74213,11.18402,11.16329,11.0525,11.15614,11.26939,11.34939
MYO1E,9.772819,9.863,9.960162,9.82067,9.932734,9.983226,9.885372,9.93228,10.20099,9.970583,10.44583,10.38736,10.52412,10.42452,10.41818,10.29867,9.947726,9.395257,10.10409,10.13351,10.20941,10.28974,10.15477,10.16057
ANXA2,11.02926,11.41943,11.01538,11.12489,11.11381,11.31613,11.12322,11.35898,10.89693,11.039,10.78907,10.89526,10.9515,10.91165,11.00977,10.88825,10.93442,11.1405,10.82237,10.80049,10.9743,10.89953,10.73626,10.73291
CLN6,11.01014,10.99398,11.02005,10.91012,11.01942,10.96418,11.13159,10.91279,10.75505,10.26014,10.86338,10.90091,10.80965,10.67485,10.86661,10.85263,10.83183,10.53852,10.9033,10.91912,10.90322,10.84446,10.92009,10.71567
PKM2,12.35564,12.45751,12.42075,12.35765,12.42875,12.44291,12.42569,12.46105,12.42564,12.456,12.41226,12.34493,12.41131,12.40791,12.37496,12.37815,12.4442,12.50744,12.45422,12.43971,12.51001,12.46606,12.5283,12.41648
ADPGK,10.27949,10.23041,10.22622,10.25811,10.23756,10.17094,10.17313,10.11757,10.10229,9.957406,10.14583,10.13659,10.07205,10.07654,10.0916,10.13751,10.10927,9.792152,10.10494,9.940746,9.968772,10.04827,9.996405,10.00062
NPTN,10.98988,10.97378,11.10085,10.9543,11.06324,11.08899,11.12171,10.9825,11.17947,11.36744,11.25547,11.25832,11.27723,11.2107,11.08058,11.2473,11.13212,11.15,11.15774,11.12667,11.15211,11.13338,11.17284,11.10202
SCAMP2,11.86965,11.83674,11.85323,11.78409,11.59271,11.83062,11.9102,11.90921,11.75039,10.96468,11.74927,11.81236,11.64898,11.62594,11.72437,11.6816,11.80189,11.13733,11.75647,11.80627,11.57363,11.74994,11.62563,11.67187
COX5A,11.13821,11.05338,11.10904,11.04979,11.08111,10.97192,11.13116,11.07668,11.02279,10.85552,11.05322,11.08187,11.0026,10.95091,10.98046,11.05191,11.031,10.87197,11.03393,11.12186,11.01412,11.05065,11.0421,10.97749
TSPAN3,10.41909,10.44986,10.27569,10.36597,10.46301,10.35712,10.26889,10.39735,10.27272,10.54353,10.40566,10.39214,10.37047,10.39576,10.3742,10.36205,10.2531,10.37137,10.18188,10.2131,10.32099,10.25589,10.16768,10.2711
CTSH,11.41488,11.606,11.45008,11.47112,11.68062,11.59061,11.47208,11.47685,11.38375,11.40778,11.56686,11.52826,11.56514,11.49102,11.5408,11.50364,11.33996,11.40587,11.42898,11.34703,11.55377,11.5046,11.35903,11.33432
ST20,9.993631,10.29726,10.22837,10.09232,10.31255,10.16194,10.167,10.04829,10.52093,10.11248,10.46419,10.51528,10.50602,10.40115,10.49074,10.64904,10.04045,9.865471,10.30522,10.25437,10.22184,10.23755,10.31126,10.26622
RPL9,12.13778,12.04856,12.07303,12.12942,12.18457,12.01553,12.11138,12.00045,12.08912,12.06589,12.20176,12.19171,12.20616,12.13643,12.16342,12.1961,12.07439,12.10406,12.108,12.09087,12.01898,12.02199,12.09111,12.19318
RPS17,12.24571,12.42368,12.29511,12.28573,12.34798,12.42484,12.39405,12.27476,12.22054,12.21964,12.32636,12.31614,12.35374,12.20658,12.18901,12.27692,12.21472,12.2489,12.25004,12.30393,12.25935,12.32284,12.1405,12.24827
RPL9,12.20402,12.11239,12.13511,12.19455,12.24665,12.07513,12.18303,12.08565,12.14734,12.12498,12.26385,12.25278,12.26176,12.20195,12.2255,12.25818,12.12513,12.16449,12.16781,12.15301,12.09099,12.07633,12.12568,12.2597
RPS17,12.24571,12.42368,12.29511,12.28573,12.34798,12.42484,12.39405,12.27476,12.22054,12.21964,12.32636,12.31614,12.35374,12.20658,12.18901,12.27692,12.21472,12.2489,12.25004,12.30393,12.25935,12.32284,12.1405,12.24827
AP3S2,10.27046,10.17226,10.34374,10.26925,10.2667,10.17559,10.25834,10.2324,10.13441,9.733315,10.21367,10.11887,10.11569,10.09975,10.14663,10.20632,10.11434,9.815264,10.08161,9.923213,10.07277,10.13247,10.11069,10.09478
NADP+,11.00145,10.89994,11.06464,11.03273,10.77614,10.93695,11.01338,11.03693,10.77659,10.26654,10.85427,10.86093,10.73214,10.8928,10.89792,10.91613,11.02529,10.42601,10.91407,11.03635,10.77672,11.00989,10.92307,11.02522
RPL23A,10.61911,10.63553,10.6038,10.5596,10.69872,10.5259,10.91222,10.60568,10.20439,10.09566,10.66689,10.59702,10.63412,10.375,10.73498,10.59582,10.24101,10.37487,10.67238,10.44291,10.46218,10.43221,10.52782,10.19398
NME4,10.52874,10.64297,10.47781,10.53394,10.39576,10.57106,10.55154,10.65921,10.25754,9.892194,10.22685,10.30405,10.20146,10.22519,10.19647,10.26467,10.21556,10.0973,10.1825,10.43972,10.30626,10.37223,10.32957,10.25381
ATP6V0C,12.66345,12.64143,12.60506,12.64046,12.5617,12.6021,12.61165,12.7579,12.57316,12.40394,12.59802,12.66061,12.53269,12.5562,12.56298,12.60824,12.62769,12.36716,12.53114,12.65957,12.51054,12.55381,12.51241,12.51642
SRRM2,11.22081,11.19877,11.17737,11.15655,11.23223,11.15644,11.22553,11.08321,11.16355,10.97165,11.25317,11.26954,11.22662,11.17492,11.25655,11.23048,11.18295,11.24881,11.20665,11.31129,11.19801,11.25435,11.377,11.23073
NPIP,10.31341,10.31082,10.19634,10.308,10.47595,10.39664,10.24785,10.29,10.1822,10.06081,10.30927,10.27533,10.22218,10.3003,10.31214,10.22883,10.22677,10.41001,10.35845,10.40891,10.42768,10.32823,10.43586,10.4895
NPIP,10.33155,10.32581,10.22333,10.33416,10.49723,10.4144,10.26876,10.31427,10.21235,10.09356,10.33842,10.30183,10.24473,10.3275,10.332,10.26267,10.25454,10.4362,10.37482,10.4277,10.44966,10.35326,10.45955,10.51717
NOMO3,12.42661,12.28114,12.41603,12.39754,12.35811,12.39071,12.39411,12.39823,12.48353,12.40072,12.46034,12.468,12.41813,12.40234,12.43921,12.44524,12.46727,12.39241,12.4222,12.32727,12.44339,12.42738,12.42272,12.4896
NOMO3,12.42661,12.28114,12.41603,12.39754,12.35811,12.39071,12.39411,12.39823,12.48353,12.40072,12.46034,12.468,12.41813,12.40234,12.43921,12.44524,12.46727,12.39241,12.4222,12.32727,12.44339,12.42738,12.42272,12.4896
UQCRC2,11.1947,11.28193,11.17272,11.28982,11.19924,11.26845,11.16648,11.27292,11.1804,11.03156,11.1743,11.24945,11.23585,11.1545,11.20199,11.23794,11.14807,11.02313,11.1111,10.99855,11.12503,11.14685,11.14655,11.28236
NPIPL3,11.51909,11.24171,11.37636,11.29199,11.48748,11.37761,11.2093,11.23836,11.28493,11.22334,11.31551,11.24614,11.19745,11.27999,11.19609,11.206,11.31388,11.54364,11.43083,11.43877,11.44845,11.43358,11.55521,11.50751
PLK1,10.96503,11.07351,10.98791,11.00585,10.81506,10.98422,11.03681,11.02227,10.55055,9.64449,10.61112,10.60058,10.50679,10.55013,10.82354,10.79882,10.72879,10.12117,10.49684,10.56033,10.45599,10.53108,10.60555,10.51271
EIF3C,11.55167,11.58502,11.56534,11.52928,11.60903,11.55912,11.48386,11.58999,11.70935,11.64509,11.68115,11.61709,11.67362,11.69012,11.65913,11.60667,11.5865,11.67035,11.52863,11.5157,11.67268,11.60356,11.54807,11.47086
SPN,10.13216,10.04283,10.26295,10.23077,9.770528,10.03582,10.2614,10.07368,10.26519,9.259382,10.41619,10.46663,10.28008,10.40927,10.40265,10.43119,10.28113,9.258534,10.36957,10.2927,9.878932,10.18041,10.249,10.19731
QPRT,10.77306,10.85398,10.75563,10.73524,10.36789,10.79625,10.77947,10.78959,10.56303,9.470648,10.49517,10.52884,10.27512,10.41221,10.55934,10.58945,10.82581,9.783994,10.69221,10.79475,10.20874,10.55631,10.74592,10.657
CORO1A,12.15771,12.13662,12.16919,12.18382,11.74332,12.08856,12.23309,12.2766,12.00932,10.72749,11.9255,12.05179,11.7542,11.81586,12.07754,12.00668,12.21929,10.87874,11.92327,12.12517,11.75285,12.0596,12.07422,12.02803
STX4,9.727984,9.961868,9.835351,9.829597,9.94031,9.95779,9.701566,9.904945,9.840318,10.20664,9.925923,9.820374,9.972731,9.889673,9.89852,9.888072,9.833991,10.16451,9.727137,9.933627,10.00601,9.826415,9.644524,9.696177
FUS,11.45577,11.38344,11.42828,11.4175,11.40526,11.31617,11.36692,11.29993,11.58842,11.58937,11.62896,11.60132,11.63903,11.59224,11.65719,11.6892,11.52852,11.6409,11.54153,11.57061,11.67133,11.55128,11.65865,11.6461
HNRNPA1,11.85916,11.62043,11.81594,11.88267,11.81657,11.67275,11.81187,11.69376,11.62837,11.58849,11.66116,11.66902,11.68182,11.68343,11.72205,11.73179,11.5987,11.69307,11.6863,11.60402,11.73822,11.61703,11.71162,11.85972
LPCAT2,11.05627,11.02074,11.09792,11.09591,10.86691,11.00382,11.11401,11.05755,11.08935,10.90043,11.20207,11.21427,11.07492,11.05901,11.24478,11.19962,11.08184,10.66732,11.09976,10.93769,10.96767,10.97681,11.14569,11.14345
MT2A,10.3918,11.33271,10.56387,10.80681,11.22422,11.11269,10.60164,10.9209,10.65804,12.69993,10.6727,10.71781,10.91743,10.75439,10.78709,10.95602,11.12134,12.74455,10.63481,10.97136,11.08121,10.97196,10.91398,11.01584
MT1F,9.736851,10.08594,9.616176,9.873728,9.628305,9.870016,9.659136,9.946263,9.374498,10.11919,9.143312,9.359157,9.285084,9.393129,9.352015,9.471594,9.50186,10.05308,8.957356,9.37861,9.04106,9.188511,9.3414,9.542542
HERPUD1,10.13888,9.739322,9.978161,10.0775,9.75125,9.866522,10.10296,10.09552,10.02581,9.219733,10.04401,9.970019,9.815147,9.922116,9.980839,9.905105,9.870178,8.957813,9.716324,9.583583,9.496741,9.624985,9.897224,9.789608
CPNE2,11.25182,11.17805,11.25708,11.18573,10.992,11.17361,11.34998,11.20838,11.35443,10.96458,11.33073,11.4366,11.31485,11.36696,11.42615,11.3997,11.45148,10.80674,11.44121,11.47312,11.22902,11.43213,11.49279,11.41884
ARL2BP,10.34481,10.43093,10.34579,10.37363,10.48745,10.36695,10.3906,10.37599,10.14834,10.21879,10.2311,10.31672,10.45874,10.32861,10.29111,10.24311,10.30518,10.24613,10.11386,10.16093,10.2429,10.28311,10.27101,10.18394
CMTM3,10.94484,11.06592,11.00374,11.02456,10.93068,11.00538,11.07973,10.97225,10.77564,10.35308,10.9026,10.99468,10.95564,10.88035,10.8663,10.93156,10.80842,10.25303,11.00281,10.79675,10.8955,10.89875,10.98897,10.85885
CBFB,10.06686,9.861066,9.982991,10.07821,10.00583,9.862089,9.923427,9.850483,10.12061,9.774858,10.18793,10.17512,10.11617,10.2753,10.23932,10.19499,9.941111,9.720682,10.05701,10.03786,10.05392,10.02924,10.00212,10.04981
E2F4,10.02814,10.2019,10.09542,10.02848,10.12818,10.18885,10.08501,10.06024,10.23853,10.1822,10.21194,10.32889,10.37497,10.21064,10.12948,10.24111,10.15807,10.06381,10.11948,10.24774,10.24898,10.21465,10.16688,10.11737
NUTF2,10.80406,11.23414,10.90072,10.95141,11.01467,11.15186,10.96813,11.14587,10.88468,10.89684,10.91465,10.93472,10.99306,10.92057,10.85067,10.87624,10.90626,10.92773,10.783,10.97443,11.01227,11.03728,10.82591,10.88785
NFATC3,10.17231,9.905623,10.06732,9.995158,9.719324,9.882585,10.04487,9.995907,10.12222,9.625804,10.26253,10.1722,10.11031,10.14434,10.33126,10.24129,10.09214,9.668312,10.1956,10.00827,9.994553,10.13942,10.18436,10.08116
PLA2G15,10.63882,10.59451,10.68235,10.59695,10.15848,10.53683,10.72351,10.69279,10.95524,9.070585,10.87012,10.97828,10.81119,10.83165,10.96919,10.9327,10.83215,9.223113,10.62477,10.76073,10.30217,10.75098,10.82372,10.67293
SF3B3,10.48655,10.57208,10.50134,10.40386,10.59678,10.41847,10.42621,10.3407,10.4847,10.39653,10.42186,10.48367,10.53793,10.49818,10.42918,10.46875,10.41244,10.4758,10.47842,10.38735,10.60207,10.52917,10.47708,10.55416
A,10.66998,10.83388,10.75351,10.74483,10.95274,10.72277,10.70976,10.81309,10.9134,10.76615,10.93583,10.92131,10.97254,10.90374,10.90399,10.95955,10.83589,10.74481,10.85387,10.81189,10.87239,10.78302,10.63135,10.7675
ATMIN,10.54312,10.35217,10.42757,10.49821,10.4621,10.45299,10.49036,10.36381,10.41227,10.23613,10.40402,10.48152,10.47466,10.49317,10.43245,10.52462,10.40498,10.30257,10.40889,10.40503,10.45211,10.47714,10.45458,10.47342
CMIP,10.20952,10.19467,10.21763,10.13316,10.28607,10.23468,10.22182,10.15156,10.27751,10.19872,10.30463,10.16475,10.33144,10.24528,10.17753,10.20076,10.19559,10.22653,10.27046,10.30731,10.27015,10.16341,10.28232,10.09585
USP10,10.29253,10.23712,10.26973,10.1195,10.51136,10.19878,10.09009,9.986131,10.37212,10.45026,10.45403,10.38188,10.50406,10.39171,10.33313,10.47391,10.18731,10.51301,10.39672,10.14301,10.5919,10.30583,10.32012,10.32129
IRF8,10.42357,10.25973,10.36656,10.5013,10.30538,10.2183,10.40922,10.41408,10.84511,10.50892,10.55094,10.55678,10.44044,10.52977,10.63606,10.59836,10.50381,10.62835,10.3015,10.24342,10.36059,10.25408,10.42756,10.32867
WASH1,10.3397,10.18629,10.16101,10.26568,10.19769,10.26893,10.28724,10.24181,10.15235,9.858163,10.05887,10.1001,9.994169,10.06661,10.06323,10.05613,10.26548,10.11028,10.23788,10.4082,10.20028,10.20963,10.32396,10.21281
TMEM8A,10.21303,10.35943,10.30322,10.17355,10.28235,10.33467,10.30243,10.32764,10.13785,10.04044,10.22243,10.16461,10.22544,10.23513,10.15204,10.21484,10.21019,9.971075,10.2543,10.28465,10.21441,10.21012,10.21543,10.02308
CLCN7,10.34636,10.2124,10.3779,10.2808,10.08661,10.32288,10.35262,10.30829,10.48281,9.597574,10.36804,10.50676,10.28543,10.43492,10.4075,10.41246,10.50599,9.851427,10.49186,10.55013,10.32228,10.50435,10.44472,10.46764
RPS2,12.61569,12.71487,12.61685,12.63721,12.67303,12.69064,12.66205,12.65308,12.59479,12.54113,12.65887,12.69541,12.70965,12.5839,12.66176,12.66095,12.63291,12.52409,12.62871,12.59599,12.61981,12.65406,12.55215,12.60806
RNPS1,10.44318,10.77542,10.45973,10.57646,10.51913,10.6946,10.52248,10.73716,10.60449,10.66952,10.64563,10.553,10.51925,10.67202,10.52615,10.67224,10.6061,10.71935,10.61188,10.62512,10.65559,10.67092,10.58069,10.52905
PDPK1,10.99982,10.75136,11.04786,11.04572,10.84829,10.93534,10.81394,10.95883,11.206,10.73233,10.92415,10.918,10.88843,11.04265,10.97208,10.92474,10.9776,10.67866,10.9047,10.86115,10.94647,10.96333,10.94415,10.90665
TRAP1,10.17031,10.13557,10.18491,10.14581,10.29,10.17125,10.117,10.08494,10.08506,9.920241,10.00909,10.03933,10.12033,10.08,10.04618,10.11979,10.15394,10.11473,10.07685,10.06756,10.26049,10.19131,10.14433,10.08944
CREBBP,10.31745,9.979229,10.22521,10.12111,10.16931,10.14146,10.23182,10.07766,10.24981,10.30676,10.2516,10.15579,10.14259,10.18004,10.16695,10.15267,10.25471,10.08776,10.32647,10.28769,10.18227,10.22061,10.28203,10.19231
