DYRK3
EPS15
RP11-774D14.1
FERMT3
COX6A1
SRP68
KIAA0513
CTD-2314B22.3
SETD2
NPIPA8
NABP2
TMEM147
FANCA
LDOC1L
EEF1A1P6
ZNF81
FN1
AC073115.7
RP11-460N16.1
AP5M1
CCDC144NL
NOSIP
SLAIN2
CYSTM1
LIX1L
CALM2
RP11-521B24.5
RBBP5
LMTK2
RP5-1085F17.3
SEL1L3
RP11-596D21.1
SUGT1
SERPINB7
RP11-746M1.1
GHRLOS
HAUS4
AC132872.1
RP11-845C23.2
KLRK1
RP11-493L12.6
ZNF37A
JOSD1
TPD52L2
MARVELD3
ARMCX3
HMGCLL1
RP11-109N23.5
QKI
MAPKAP1
LYRM2
PDZD8
TTLL3
F8A3
CCSAP
AC005522.7
KAT8
ZNF404
SRGAP3
TGFBR2
DHFR
CDK13
TMEM173
PMS2
COL27A1
PTHLH
RBMXL1
NFYB
B3GALT1
SSH1
GS1-115G20.1
EXOSC6
CNOT8
AJUBA
ZNF208
SRP9
RP11-466P24.2
RP11-372K14.2
C1orf174
RP11-53O19.3
HEYL
ZHX2
TXLNG2P
HSD17B8
NCOR1P1
EPB41
IGHV3-38
ERP44
LINC00623
FNIP1
BCAS4
MRPL44
PIGW
CASC9
PTPN20B
HCFC2
RAB13
ZNF275
RP11-44F14.8
GTPBP2
RPL21P1
EIF2B3
BZW1P2
PLEKHA8
FKBP10
RP13-36G14.4
ELOVL4
PIK3C3
NAAA
CTAGE9
DDX21
PQBP1
ABCE1
SLC30A5
RP11-206L10.2
PPP1R14D
CTB-92J24.2
ADCY9
EIF2S3L
FILIP1
STOML2
GGCT
USP28
FAM127B
PABPC3
GPR82
IPO5
TCEA3
RP11-522D2.1
ZNF280B
RP11-553L6.5
ORM1
CMIP
ATPAF2
ZNF581
NPIPA7
RPN2
NFATC4
CDCA5
TSEN2
HIST1H4C
HTRA1
RHEB
ZNF232
ELMOD1
PODNL1
MROH6
GLOD4
DPH3
FRMD3
DYNLL2
ZNF283
MLLT4
RAD51C
ARMCX1
MFSD11
CABP4
ITSN2
ALDH1L1
APH1B
SLC31A1P1
RPL26
KLHL5
CDK14
SNX10
DOCK1
RP11-490H24.5
HIST1H2BL
ZMYM6NB
SERTAD4
RFWD2
SRP19
FAM198B
KLF8
CLDN1
IGLV1-47
LIG1
IFI27L1
DAP3
C5orf15
FAM129B
RP11-465N4.4
ENDOV
PRDM1
DBN1
PIK3CD
CRADD
TMED10
RRM2B
C16orf46
RP11-475C16.1
CHST15
PTK2B
RP11-299J3.8
SORD
AC027119.1
ZNF772
SERINC1
SGK3
DARS
RRBP1
KCTD9
CCDC144B
RBM47
RARG
NEDD9
RP11-400N13.2
CMC4
AGO3
RP11-676J12.7
MEGF9
MYADM
IER3
BCL6
RABGGTA
MX1
RNF217
RPS2P5
MOB3A
DDX50
FHOD3
SLC1A1
OSTC
RP11-761N21.2
RHOA
ACTB
CPHL1P
EXOC8
KIF21A
BEND6
DEPTOR
DHRS3
PTPRS
PET100
GARS
PSAP
TTN
GPATCH2
AC006116.21
HENMT1
ZNF7
